,Domain,SubDomain,Model,PPL-Score
0,class,all,checkpoints/nationality-bert-adapter-tune,0.46402877697841727
1,class,freeform_full,checkpoints/nationality-bert-adapter-tune,0.19540229885057472
2,class,freeform_prof,checkpoints/nationality-bert-adapter-tune,0.6964285714285714
3,class,template_wealth,checkpoints/nationality-bert-adapter-tune,0.43037974683544306
4,gender,all,checkpoints/nationality-bert-adapter-tune,0.4809322033898305
5,gender,freeform_family_full,checkpoints/nationality-bert-adapter-tune,0.3868312757201646
6,gender,freeform_family_stereotype,checkpoints/nationality-bert-adapter-tune,0.36764705882352944
7,gender,freeform_full,checkpoints/nationality-bert-adapter-tune,0.6033057851239669
8,gender,freeform_generic,checkpoints/nationality-bert-adapter-tune,0.45595854922279794
9,gender,freeform_job,checkpoints/nationality-bert-adapter-tune,0.6392405063291139
10,gender,freeform_prof_full,checkpoints/nationality-bert-adapter-tune,0.34868421052631576
11,gender,freeform_prof_stereotype,checkpoints/nationality-bert-adapter-tune,0.3924050632911392
12,gender,template_assoc,checkpoints/nationality-bert-adapter-tune,0.6111111111111112
13,gender,template_hetpos,checkpoints/nationality-bert-adapter-tune,0.5217391304347826
14,nationality,all,checkpoints/nationality-bert-adapter-tune,0.6486486486486487
15,nationality,freeform_full,checkpoints/nationality-bert-adapter-tune,0.6744186046511628
16,nationality,freeform_immigrant,checkpoints/nationality-bert-adapter-tune,0.5964912280701754
17,nationality,template_assoc,checkpoints/nationality-bert-adapter-tune,0.6582278481012658
18,religion,all,checkpoints/nationality-bert-adapter-tune,0.7727272727272727
19,religion,freeform_antisem,checkpoints/nationality-bert-adapter-tune,0.7727272727272727
