masc,fem
китаец,китаянка
испанец,испанка
англичанин,англичанка
британец,британка
американец,американка
индиец,индианка
араб,арабка
бенгалец,бенгалка
португалец,португалка
русский,русская
японец,японка
малаец,малайка
турок,турчанка
кореец,кореянка
француз,француженка
немец,немка
вьетнамец,вьетнамка
тамилец,тамилка
итальянец,итальянка
украинец,украинка
таец,тайка
поляк,полячка
азербайджанец,азербайджанка
серб,сербка
хорват,хорватка
узбек,узбечка
таджик,таджичка
голландец,голландка
амхарец,амхарка
индонезиец,индонезийка
грек,гречанка
чех,чешка
абхазец,абхазка
австралиец,австралийка
австриец,австрийка
албанец,албанка
алжирец,алжирка
анголец,анголка
афганец,афганка
бангладешец,бангладешка
болгарин,болгарка
белорус,белоруска
грузин,грузинка
датчанин,датчанка
индиец,индианка
канадец,канадка
иранец,иранка
ирландец,ирландка
исландец,исландка
монгол,монголка
татарин,татарка
норвежец,норвежка
румын,румынка
чеченец,чеченка
башкир,башкирка
чуваш,чувашка
аварец,аварка
армянин,армянка
даргинец,даргинка
казах,казашка
кумык,кумычка
кабардинец,кабардинка
ингуш,ингушка
лезгин,лезгинка
осетин,осетинка
якут,якутка
бурят,бурятка
удмурт,удмуртка
киргиз,киргизка
ассириец,ассирийка
словак,словачка
эстонец,эстонка
швед,шведка
россиянин,россиянка
европеец,европейка
кавказец,кавказка
